Year,Amount,Type,Population,Average
1909,1380,Carcass,90.49,15.2503039
1910,1483,Carcass,92.407,16.04856775
1911,1522,Carcass,93.863,16.21512204
1912,1476,Carcass,95.335,15.48224681
1913,1468,Carcass,97.225,15.09899717
1914,1488,Carcass,99.111,15.01346975
1915,1503,Carcass,100.546,14.94838184
1916,1434,Carcass,101.961,14.06420102
1917,1416,Carcass,103.414,13.69253679
1918,1436,Carcass,104.55,13.735055
1919,1558,Carcass,105.063,14.82919772
1920,1516,Carcass,106.461,14.23995642
1921,1502,Carcass,108.538,13.83847132
1922,1619,Carcass,110.049,14.71162846
1923,1695,Carcass,111.947,15.14109355
1924,1618,Carcass,114.109,14.17942494
1925,1718,Carcass,115.829,14.83220955
1926,1727,Carcass,117.397,14.71076774
1927,1881,Carcass,119.035,15.80207502
1928,1827,Carcass,120.509,15.16069339
1929,1804,Carcass,121.767,14.81517981
1930,2007,Carcass,123.188,16.29217132
1931,1812,Carcass,124.149,14.59536525
1932,1864,Carcass,124.949,14.91808658
1933,1918,Carcass,125.69,15.25976609
1934,1772,Carcass,126.485,14.00956635
1935,1732,Carcass,127.362,13.59903268
1936,1801,Carcass,128.181,14.05044429
1937,1828,Carcass,128.961,14.17482805
1938,1704,Carcass,129.969,13.11081873
1939,1912,Carcass,131.028,14.59230088
1940,1925,Carcass,132.122,14.56986724
1941,2148,Carcass,133.402,16.10170762
1942,2513,Carcass,134.86,18.63413911
1943,3190,Carcass,136.739,23.32911605
1944,3095,Carcass,138.397,22.36320151
1945,3083,Carcass,139.928,22.0327597
1946,2875,Carcass,141.389,20.33397223
1947,2642,Carcass,144.126,18.33118244
1948,2700,Carcass,146.631,18.41356875
1949,2939,Carcass,149.188,19.69997587
1950,3162,Carcass,151.684,20.84596925
1951,3381,Carcass,154.287,21.91370627
1952,3489,Carcass,156.954,22.22944302
1953,3513,Carcass,159.565,22.01610629
1954,3715,Carcass,162.391,22.87688357
1955,3541,Carcass,165.275,21.4248979
1956,4120,Carcass,168.221,24.49159142
1957,4376,Carcass,171.274,25.54970398
1958,4900,Carcass,174.141,28.13811796
1959,5107,Carcass,177.073,28.84121238
1960,5057,Carcass,180.671,27.99010356
1961,5510,Carcass,183.691,29.99602593
1962,5599,Carcass,186.538,30.015332
1963,5811,Carcass,189.242,30.70671415
1964,5966,Carcass,191.889,31.09089109
1965,6488,Carcass,194.303,33.39114682
1966,7034.096768,Carcass,196.56,35.78600309
1967,7284.734475,Carcass,198.712,36.65976124
1968,7399.022223,Carcass,200.706,36.86497774
1969,7805.219234,Carcass,202.677,38.51063137
1970,8227.711221,Carcass,205.052,40.12499864
1971,8330.200879,Carcass,207.661,40.11442148
1972,8718.234797,Carcass,209.896,41.53597399
1973,8422.638,Carcass,211.909,39.74648552
1974,8473.81208,Carcass,213.854,39.6242861
1975,8386.09892,Carcass,215.973,38.82938571
1976,9136.32596,Carcass,218.035,41.90302456
1977,9406.47904,Carcass,220.239,42.71032397
1978,9974.64004,Carcass,222.585,44.81272341
1979,10866.87136,Carcass,225.055,48.28540295
1980,11027.67064,Carcass,227.726,48.42517165
1981,11588.73244,Carcass,229.966,50.39324265
1982,11955.76608,Carcass,232.188,51.49174841
1983,12327.042,Carcass,234.307,52.6106433
1984,12879.458,Carcass,236.348,54.49361958
1985,13430.87196,Carcass,238.466,56.32195768
1986,13985.49804,Carcass,240.651,58.11527083
1987,15038.11804,Carcass,242.804,61.9352154
1988,15633.53655,Carcass,245.021,63.80488428
1989,16542.66607,Carcass,247.342,66.88175106
1990,17619.21676,Carcass,250.132,70.43967489
1991,18599.7234,Carcass,253.493,73.37371604
1992,19665.94684,Carcass,256.894,76.55276822
1993,20372.69583,Carcass,260.255,78.27974805
1994,20983.96347,Carcass,263.436,79.65488191
1995,21131.24488,Carcass,266.557,79.27477005
1996,21676.93635,Carcass,269.667,80.38408982
1997,22680.345,Carcass,272.912,83.10497523
1998,23130.30422,Carcass,276.115,83.77054568
1999,24855.31531,Carcass,279.295,88.99305505
2000,25443.9368,Carcass,282.385,90.10371231
2001,25598.6093,Carcass,285.309019,89.7223978
2002,27192.1171,Carcass,288.104818,94.38272254
2003,27822.9528,Carcass,290.819634,95.6708198
2004,28921.4237,Carcass,293.463185,98.55213593
2005,29787.2334,Carcass,296.186216,100.5692763
2006,30248.8465,Carcass,298.995825,101.1681233
2007,30053.66523,Carcass,302.003917,99.51415706
2008,29743.144,Carcass,304.797761,97.58321027
2009,28637.47399,Carcass,307.439406,93.14835194
2010,29854.99908,Carcass,309.745698,96.38551648
2011,30255.65122,Carcass,311.997049,96.9741583
2012,29572.82557,Carcass,314.210786,94.11779254
2013,30317.8826,Carcass,316.358778,95.83385924
2014,31116.15559,Carcass,318.662368,97.64615692
2015,33374.54978,Carcass,320.978213,103.9776173
2016,33915.92933,Carcass,323.291042,104.9083486
2017,34609.21553,Carcass,325.186237,106.4289062
1909,1380,Retail,90.49,15.2503039
1910,1483,Retail,92.407,16.04856775
1911,1522,Retail,93.863,16.21512204
1912,1476,Retail,95.335,15.48224681
1913,1468,Retail,97.225,15.09899717
1914,1488,Retail,99.111,15.01346975
